,state_persistence=state_accumulating,state_persistence=state_referencing,state_persistence=stateless,state_persistence=unknown
trigger=\N,-0.014899056427077942,-0.005386089164351897,0.00462268138937371,0.0150562856675446
trigger=assignment,-0.0022573668159661794,-0.007123381915515085,-0.0013943454939998536,0.0065832455899636185
trigger=automation,-0.029958615915356368,-0.023778274532540878,0.00901311158387874,0.03851883429416513
trigger=dm,0.007590676064974363,0.016477604315800365,-0.0006218655151248659,-0.016624619304430762
trigger=introduction,-0.04295154476685972,-0.0034825340321393335,0.0027654342582971426,0.037318327826016885
trigger=manual,0.004443463942116086,-0.0032073798208926817,-0.0017205145502828317,-0.001390803041241475
trigger=mention,0.007321830688661641,-0.0012647261889723823,-0.0014445710207134823,-0.005041956597617851
trigger=scheduled,0.07504990598018313,0.010735903456829985,-0.013531359619808758,-0.0668814267222351
trigger=task_comment_mention,-0.0025303330942535425,-0.007189417709488594,0.001508043837052579,0.006426461645848479
trigger=unknown,-0.018756452214937117,-0.003846121907742834,0.00435015034419834,0.017310192963344694
